Total Nacional;Municipios;Indicadores;Sexo;Periodo;Total
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2019;86,09
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2018;84,97
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2017;82,94
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2016;80,68
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2015;78,33
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2014;75,93
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2013;74,38
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2012;75,7
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2011;79,12
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2010;80,73
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2023;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2022;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2021;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2020;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2019;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2018;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2017;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2016;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2015;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2014;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2013;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2012;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2011;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2010;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2023;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2022;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2021;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2020;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2019;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2018;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2017;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2016;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2015;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2014;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2013;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2012;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2011;""
Total Nacional;;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2010;""
Total Nacional;;Tasa de actividad (Porcentaje);Total;2023;58,85
Total Nacional;;Tasa de actividad (Porcentaje);Total;2022;58,53
Total Nacional;;Tasa de actividad (Porcentaje);Total;2021;58,38
Total Nacional;;Tasa de actividad (Porcentaje);Total;2020;57,44
Total Nacional;;Tasa de actividad (Porcentaje);Total;2019;58,64
Total Nacional;;Tasa de actividad (Porcentaje);Total;2018;58,24
Total Nacional;;Tasa de actividad (Porcentaje);Total;2017;58,08
Total Nacional;;Tasa de actividad (Porcentaje);Total;2016;59,23
Total Nacional;;Tasa de actividad (Porcentaje);Total;2015;59,54
Total Nacional;;Tasa de actividad (Porcentaje);Total;2014;59,6
Total Nacional;;Tasa de actividad (Porcentaje);Total;2013;60,02
Total Nacional;;Tasa de actividad (Porcentaje);Total;2012;60,4
Total Nacional;;Tasa de actividad (Porcentaje);Total;2011;60,33
Total Nacional;;Tasa de actividad (Porcentaje);Total;2010;60,28
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2023;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2022;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2021;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2020;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2019;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2018;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2017;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2016;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2015;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2014;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2013;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2012;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2011;""
Total Nacional;;Tasa de actividad (Porcentaje);Mujeres;2010;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2023;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2022;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2021;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2020;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2019;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2018;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2017;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2016;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2015;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2014;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2013;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2012;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2011;""
Total Nacional;;Tasa de actividad (Porcentaje);Hombres;2010;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2023;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2022;77,67
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2021;77,19
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2020;77,01
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2019;77,24
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2018;77,14
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2017;77,12
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2016;77,33
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2015;76,95
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2014;76,9
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2013;76,54
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2012;75,46
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2011;74,57
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2010;73,36
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2023;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2022;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2021;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2020;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2019;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2018;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2017;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2016;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2015;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2014;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2013;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2012;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2011;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2010;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2023;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2022;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2021;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2020;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2019;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2018;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2017;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2016;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2015;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2014;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2013;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2012;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2011;""
Total Nacional;;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2010;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2023;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2022;11,97
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2021;11,94
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2020;12
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2019;12,22
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2018;12,29
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2017;12,37
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2016;12,32
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2015;12,32
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2014;12,4
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2013;12,5
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2012;12,74
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2011;13,09
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2010;13,33
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2023;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2022;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2021;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2020;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2019;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2018;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2017;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2016;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2015;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2014;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2013;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2012;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2011;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2010;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2023;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2022;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2021;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2020;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2019;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2018;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2017;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2016;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2015;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2014;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2013;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2012;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2011;""
Total Nacional;;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2010;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2022;34.821
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2021;32.216
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2020;30.552
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2019;30.690
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2018;29.132
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2017;28.417
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2016;27.558
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2015;26.730
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2014;26.092
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2013;26.154
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2012;26.775
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2011;27.747
Total Nacional;;Renta neta media anual de los hogares (Euros);Total;2010;28.206
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2023;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2022;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2021;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2020;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2019;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2018;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2017;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2016;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2015;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2014;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2013;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2012;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2011;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Mujeres;2010;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2023;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2022;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2021;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2020;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2019;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2018;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2017;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2016;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2015;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2014;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2013;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2012;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2011;""
Total Nacional;;Renta neta media anual de los hogares (Euros);Hombres;2010;""
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2023;""
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2022;14.082
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2021;13.008
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2020;12.269
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2019;12.292
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2018;11.680
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2017;11.412
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2016;11.074
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2015;10.708
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2014;10.419
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2013;10.391
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2012;10.531
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2011;10.795
Total Nacional;;Renta neta media anual por habitante (Euros);Total;2010;10.858
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2023;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2022;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2021;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2020;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2019;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2018;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2017;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2016;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2015;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2014;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2013;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2012;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2011;""
Total Nacional;;Renta neta media anual por habitante (Euros);Mujeres;2010;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2023;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2022;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2021;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2020;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2019;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2018;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2017;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2016;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2015;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2014;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2013;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2012;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2011;""
Total Nacional;;Renta neta media anual por habitante (Euros);Hombres;2010;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2023;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2022;20.676
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2021;19.160
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2020;18.103
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2019;18.116
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2018;17.287
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2017;16.937
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2016;16.390
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2015;15.842
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2014;15.408
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2013;15.405
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2012;15.635
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2011;16.119
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Total;2010;16.280
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2023;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2022;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2021;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2020;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2019;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2018;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2017;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2016;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2015;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2014;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2013;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2012;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2011;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Mujeres;2010;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2023;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2022;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2021;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2020;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2019;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2018;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2017;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2016;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2015;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2014;""
Total Nacional;;Renta neta media anual por unidad de consumo (Euros);Hombres;2013;""
